Date,AirTemp,Humidity,WindSpd
28/08/2013 17:00,12.1,63.8,0.3
28/08/2013 17:30,10.8,72.6,1.4
28/08/2013 18:00,10.5,73.5,2
28/08/2013 18:30,9.7,74.5,1.2
28/08/2013 19:00,9.8,75.9,1.8
28/08/2013 19:30,9.3,73.9,1.3
28/08/2013 20:00,8.2,75.5,1.2
28/08/2013 20:30,8.7,84.1,0.7
28/08/2013 21:00,8.9,84.9,1.8
28/08/2013 21:30,7.9,84.6,1.5
28/08/2013 22:00,8.4,80,1.2
28/08/2013 22:30,8.8,80.7,2
28/08/2013 23:00,9.3,79.5,1.3
28/08/2013 23:30,7.2,77.1,2
29/08/2013 00:00,8.4,82.5,1.2
29/08/2013 00:30,8.2,76.2,2.1
29/08/2013 01:00,8,71.2,1.7
29/08/2013 01:30,6.6,77.1,2.1
29/08/2013 02:00,8.7,71.2,2.5
29/08/2013 02:30,8.3,72.2,2.2
29/08/2013 03:00,7.5,71.9,2
29/08/2013 03:30,6.7,82.7,0.9
29/08/2013 04:00,7.9,79.8,1.9
29/08/2013 04:30,9,71.3,2.6
29/08/2013 05:00,7.1,75.3,2.5
29/08/2013 05:30,8,73.9,2.3
29/08/2013 06:00,7.4,75.2,2.6
29/08/2013 06:30,8.8,75.8,2
29/08/2013 07:00,8.8,73.6,0.7
29/08/2013 07:30,7.4,81.8,2.5
29/08/2013 08:00,8.4,79.7,3
29/08/2013 08:30,9.3,76.5,2.1
29/08/2013 09:00,7.3,76.2,1.3
29/08/2013 09:30,6.7,85.4,1.7
29/08/2013 10:00,8.2,88.4,2.7
29/08/2013 10:30,7.1,81.9,1.6
29/08/2013 11:00,8.3,89.5,1.5
29/08/2013 11:30,8.4,84.3,1.7
29/08/2013 12:00,8.5,88.4,1.3
29/08/2013 12:30,9,90.3,1.9
29/08/2013 13:00,7.8,89.9,0.9
29/08/2013 13:30,9.4,91.1,0.9
29/08/2013 14:00,9.6,90.8,1.2
29/08/2013 14:30,9.3,90.3,1.5
29/08/2013 15:00,9,90,1.3
29/08/2013 15:30,9.2,90,1.8
29/08/2013 16:00,8.8,90,0.6
29/08/2013 16:30,7.9,89.3,1
29/08/2013 17:00,7.6,89.8,0.8
29/08/2013 17:30,8.5,89.7,0.9
29/08/2013 18:00,8.5,89.1,1.2
29/08/2013 18:30,9.1,88,2.2
29/08/2013 19:00,8.7,89.1,0.9
29/08/2013 19:30,9.5,89.4,1.4
29/08/2013 20:00,9.7,88.9,1.6
29/08/2013 20:30,10,88.6,3
29/08/2013 21:00,10.1,88.3,2.3
29/08/2013 21:30,10,89.1,2.8
29/08/2013 22:00,9.8,87.6,1.8
29/08/2013 22:30,10.2,89,2.3
29/08/2013 23:00,9.9,90.6,3.1
29/08/2013 23:30,9.9,90.9,2.7
30/08/2013 00:00,10,90.4,4.2
30/08/2013 00:30,10,90.2,2.8
30/08/2013 01:00,10,90.7,2.8
30/08/2013 01:30,10,90.2,3.2
30/08/2013 02:00,9.9,90.7,3.5
30/08/2013 02:30,9.9,91.4,2.7
30/08/2013 03:00,9.8,91.4,3.4
30/08/2013 03:30,9.8,91,4.1
30/08/2013 04:00,9.9,90.1,3.4
30/08/2013 04:30,9.9,90.1,3.3
30/08/2013 05:00,9.9,90.6,3.5
30/08/2013 05:30,9.7,91.2,2.3
30/08/2013 06:00,8.3,90.9,2
30/08/2013 06:30,8,87.9,1.2
30/08/2013 07:00,7.9,86.9,0.8
30/08/2013 07:30,7.2,90.9,3
30/08/2013 08:00,6.7,83.8,4.5
30/08/2013 08:30,6.1,80,3.7
30/08/2013 09:00,6.2,81.6,2.5
30/08/2013 09:30,6.9,77.9,2.7
30/08/2013 10:00,6.5,81.7,4.5
30/08/2013 10:30,6.5,79.8,3.9
30/08/2013 11:00,5.9,80.3,4.1
30/08/2013 11:30,6.3,85.1,5.3
30/08/2013 12:00,5.5,87.4,6.5
30/08/2013 12:30,5.3,88.4,7
30/08/2013 13:00,4.9,79.4,5.2
30/08/2013 13:30,5.2,83.9,4.7
30/08/2013 14:00,5.2,87.5,6.2
30/08/2013 14:30,5,89.3,5.1
30/08/2013 15:00,6.4,70.4,2.6
30/08/2013 15:30,6.3,72.1,5.9
30/08/2013 16:00,6.3,65,6.4
30/08/2013 16:30,5.6,69.5,5.5
30/08/2013 17:00,5.9,67,6
30/08/2013 17:30,5.7,63.8,6.5
30/08/2013 18:00,5.3,68.2,7.8
30/08/2013 18:30,4.5,76,5.8
30/08/2013 19:00,5.5,63.5,8.5
30/08/2013 19:30,6.3,55.4,8.3
30/08/2013 20:00,5.6,55.8,7.6
30/08/2013 20:30,4.6,70.4,5
30/08/2013 21:00,5.3,61.3,6.2
30/08/2013 21:30,6.3,58,7.4
30/08/2013 22:00,6.6,52.9,6.5
30/08/2013 22:30,6.7,56,6.4
30/08/2013 23:00,6.9,49.5,6
30/08/2013 23:30,6.7,51,3.2
31/08/2013 00:00,6.6,56.6,4.9
31/08/2013 00:30,7.1,49.4,3
31/08/2013 01:00,6.1,61.3,2.9
31/08/2013 01:30,5.9,66.2,2.8
31/08/2013 02:00,6,64.5,1.2
31/08/2013 02:30,6.7,62.6,4.3
31/08/2013 03:00,7.3,60.9,5.5
31/08/2013 03:30,7.5,55.4,5.9
31/08/2013 04:00,7.4,62,5.3
31/08/2013 04:30,7.3,59.9,5.9
31/08/2013 05:00,7.7,60.7,6.3
31/08/2013 05:30,7.2,66.4,4.7
31/08/2013 06:00,7.5,64.4,5.2
31/08/2013 06:30,7.6,65.4,5.8
31/08/2013 07:00,7.6,66.1,5.5
31/08/2013 07:30,7.6,63.9,5.3
31/08/2013 08:00,7.6,66.1,4.4
31/08/2013 08:30,7.9,67.2,0.7
31/08/2013 09:00,8,63.1,6.1
31/08/2013 09:30,8.4,65.4,5.3
31/08/2013 10:00,9,59.4,4.5
31/08/2013 10:30,9.3,60.5,5.4
31/08/2013 11:00,10,63.5,4.6
31/08/2013 11:30,10.5,48.7,6.3
31/08/2013 12:00,10.7,51,5.4
31/08/2013 12:30,9.7,64.2,5.9
31/08/2013 13:00,9.6,64.9,0.9
31/08/2013 13:30,9,72.5,0.4
31/08/2013 14:00,10.7,60.9,0.5
31/08/2013 14:30,11,58,0.6
31/08/2013 15:00,11.2,65.5,0.4
31/08/2013 15:30,11.4,57.4,4.6
31/08/2013 16:00,10.9,53.5,1.4
31/08/2013 16:30,10,75.3,0.4
31/08/2013 17:00,10,73.2,1.3
31/08/2013 17:30,9.5,75.2,2.5
31/08/2013 18:00,9.1,69.8,0.5
31/08/2013 18:30,10.2,62.6,0.7
31/08/2013 19:00,10.6,60.4,0.4
31/08/2013 19:30,9.7,67.7,0.4
31/08/2013 20:00,9.9,63.5,0.6
31/08/2013 20:30,9.6,68.8,0.3
31/08/2013 21:00,9.2,78,0.3
31/08/2013 21:30,8.6,86.3,0.3
31/08/2013 22:00,8.2,88.8,0.3
31/08/2013 22:30,8.1,89.9,0.3
31/08/2013 23:00,8.1,90.7,0.3
31/08/2013 23:30,8.3,90.6,0.4
09/01/2013 00:00,8.6,87.6,0.4
09/01/2013 00:30,8.8,87.7,0.4
09/01/2013 01:00,8.8,88.5,0.3
09/01/2013 01:30,8.5,89.7,0.4
09/01/2013 02:00,8.3,90.1,0.3
09/01/2013 02:30,8.2,90.4,0.3
09/01/2013 03:00,7.6,90.7,0.4
09/01/2013 03:30,7.5,89.5,1.8
09/01/2013 04:00,7.8,80.4,2.5
09/01/2013 04:30,7.3,71.6,1.8
09/01/2013 05:00,6.1,80.6,0.4
09/01/2013 05:30,7.6,82.3,1.7
09/01/2013 06:00,8.1,77.5,1.6
09/01/2013 06:30,8.1,79.9,1.9
09/01/2013 07:00,7.6,80,1.5
09/01/2013 07:30,7.5,81.6,0.5
09/01/2013 08:00,7.9,83.6,0.4
09/01/2013 08:30,9,80.6,0.7
09/01/2013 09:00,8.2,81.9,0.3
09/01/2013 09:30,8.9,83.3,0.4
09/01/2013 10:00,8.9,86.7,0.3
09/01/2013 10:30,8.5,88.4,0.4
09/01/2013 11:00,8.3,88.4,0.3
09/01/2013 11:30,10,73.3,0.4
09/01/2013 12:00,11.4,66.4,1.4
09/01/2013 12:30,10.6,73.2,1.3
09/01/2013 13:00,10.7,74.8,0.4
09/01/2013 13:30,11.3,72.6,2.9
09/01/2013 14:00,10.7,76,1.9
09/01/2013 14:30,10.6,75.2,3.7
09/01/2013 15:00,10,74,2.6
09/01/2013 15:30,10.4,71.8,1.9
09/01/2013 16:00,11.4,74.6,0.7
09/01/2013 16:30,11.2,73.6,2.5
09/01/2013 17:00,11.8,71.8,3.2
09/01/2013 17:30,11.5,76.2,2.4
09/01/2013 18:00,11.3,77.2,3.4
09/01/2013 18:30,11.5,76.2,3.3
09/01/2013 19:00,11,78.4,3.2
09/01/2013 19:30,10.6,81.2,2.2
09/01/2013 20:00,8.5,84.4,0.3
09/01/2013 20:30,8.9,82.6,0.4
09/01/2013 21:00,9.2,87.5,0.4
09/01/2013 21:30,7.4,87.1,0.5
09/01/2013 22:00,7.1,89,0.3
09/01/2013 22:30,8.2,90.2,0.3
09/01/2013 23:00,8.4,90.9,1
09/01/2013 23:30,8.3,90.4,0.6
09/02/2013 00:00,7.8,84.2,0.6
09/02/2013 00:30,7.9,78.1,0.6
09/02/2013 01:00,8.4,66.6,0.6
09/02/2013 01:30,8.7,63,0.5
09/02/2013 02:00,8.7,62.5,0.5
09/02/2013 02:30,8,76.6,1.5
09/02/2013 03:00,8.2,74,0.4
09/02/2013 03:30,8,68,0.4
09/02/2013 04:00,8,68.2,0.4
09/02/2013 04:30,7.9,70.5,0.4
09/02/2013 05:00,7,76.4,0.3
09/02/2013 05:30,6.6,83.2,0.4
09/02/2013 06:00,7.2,71.1,3.8
09/02/2013 06:30,7,68,3.2
09/02/2013 07:00,6.5,72.3,1.7
09/02/2013 07:30,6.2,81.2,0.3
09/02/2013 08:00,6.6,77.9,2.8
09/02/2013 08:30,6.7,81.7,3.3
09/02/2013 09:00,6.8,75.5,0.4
09/02/2013 09:30,7.1,73,3.9
09/02/2013 10:00,7.4,67.9,3.1
09/02/2013 10:30,7.6,73.2,4.1
09/02/2013 11:00,7.4,77.2,4
09/02/2013 11:30,7.9,68.9,5.9
09/02/2013 12:00,7.8,73.1,6.3
09/02/2013 12:30,9.2,66.8,5.6
09/02/2013 13:00,8.4,71.6,4.7
09/02/2013 13:30,7.6,75.1,6.9
09/02/2013 14:00,7.1,79.4,6.5
09/02/2013 14:30,8.5,69.1,7.3
09/02/2013 15:00,8,81,5.7
09/02/2013 15:30,8.1,78.2,7.3
09/02/2013 16:00,8.1,75.2,6.6
09/02/2013 16:30,8.3,72.1,7.4
09/02/2013 17:00,7.4,77.4,6.1
09/02/2013 17:30,8,73.5,7.9
09/02/2013 18:00,7.6,79.3,6.8
09/02/2013 18:30,7.6,78.7,6.4
09/02/2013 19:00,7.7,79.9,6
09/02/2013 19:30,7.6,81.4,6
09/02/2013 20:00,7.5,77.4,6
09/02/2013 20:30,7.8,67.6,7.8
09/02/2013 21:00,7.7,73.5,6.7
09/02/2013 21:30,7.7,73.5,6.1
09/02/2013 22:00,7.5,73.3,5.9
09/02/2013 22:30,7.5,73.8,5.8
09/02/2013 23:00,7.4,78.7,4.4
09/02/2013 23:30,7.7,76.5,5.4
09/03/2013 00:00,7.7,71.6,5.6
09/03/2013 00:30,7.3,76.3,4.6
09/03/2013 01:00,6.9,77.5,4.4
09/03/2013 01:30,6.9,77.5,4.3
09/03/2013 02:00,7.2,70.5,4.5
09/03/2013 02:30,7.1,68.1,4.4
09/03/2013 03:00,7.2,69.4,4.2
09/03/2013 03:30,6.8,65.5,4.2
09/03/2013 04:00,6.7,68.8,0.3
09/03/2013 04:30,6.6,71.2,0.4
09/03/2013 05:00,6.4,68.2,0.4
09/03/2013 05:30,6.1,71.3,0.4
09/03/2013 06:00,6.6,70.2,0.3
09/03/2013 06:30,7,69.3,0.4
09/03/2013 07:00,6.8,70.9,0.3
09/03/2013 07:30,6.1,76,0.3
09/03/2013 08:00,6.9,67.9,0.3
09/03/2013 08:30,7.3,71.2,0.3
09/03/2013 09:00,7.4,69,0.4
09/03/2013 09:30,7.6,65.7,0.3
09/03/2013 10:00,8.2,63.2,0.3
09/03/2013 10:30,8.5,70.9,0.4
09/03/2013 11:00,7.7,73.6,2.3
09/03/2013 11:30,9.5,66.9,4.4
09/03/2013 12:00,8,70.6,1.9
09/03/2013 12:30,8.7,70.7,3
09/03/2013 13:00,9.1,69.3,3.6
09/03/2013 13:30,8.8,71.4,4
09/03/2013 14:00,9.7,62.4,3.4
09/03/2013 14:30,7.5,77.1,4
09/03/2013 15:00,8.1,65.6,0.8
09/03/2013 15:30,9.2,64.9,2.6
09/03/2013 16:00,9.2,70.8,2.3
09/03/2013 16:30,8.3,66.9,2.8
09/03/2013 17:00,8.3,70.7,2.1
09/03/2013 17:30,10.4,86.5,0.3
09/03/2013 18:00,12.3,88.3,0.3
09/03/2013 18:30,18.4,45.1,0.3
